               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084139,            0.023634,            0.021846,           0.0033355,             0.49973,            0.012585,           0.0044654,            0.027827,            0.014454,           0.0097699,              0.0802,              0.0022,              0.0022
                   1,            0.062004,            0.025958,            0.023089,             0.35918,              0.4107,             0.29088,             0.14365,             0.01753,            0.012016,           0.0086807,            0.059455,           0.0044554,           0.0044554
                   2,            0.048248,            0.024393,            0.018203,             0.40559,             0.68422,              0.4662,             0.25334,            0.017442,            0.010616,            0.008373,            0.038665,           0.0066654,           0.0066654
                   3,            0.043767,            0.019901,            0.018088,             0.34315,              0.7077,             0.43214,             0.22606,            0.025216,           0.0067724,           0.0083954,             0.01783,           0.0088297,           0.0088297
                   4,            0.046412,            0.016373,             0.01597,             0.35279,             0.67861,             0.43964,             0.23093,            0.025405,           0.0048495,           0.0082721,            0.009604,            0.009604,            0.009604
                   5,            0.045271,            0.018466,            0.018147,             0.27035,             0.53369,             0.41721,             0.23707,            0.019413,           0.0047817,           0.0080687,            0.009604,            0.009604,            0.009604
                   6,            0.035927,            0.017436,            0.015866,             0.30162,             0.83509,             0.53361,             0.31265,            0.017368,           0.0041745,           0.0077965,            0.009505,            0.009505,            0.009505
                   7,            0.040336,            0.016536,            0.016359,             0.42316,             0.86287,              0.7119,              0.4221,            0.013439,           0.0042534,            0.007515,            0.009406,            0.009406,            0.009406
                   8,             0.03968,            0.016412,            0.015258,             0.45527,             0.89706,             0.64702,             0.36943,            0.015164,           0.0037725,           0.0069759,            0.009307,            0.009307,            0.009307
                   9,            0.033011,            0.016639,            0.014256,             0.67238,             0.84385,             0.85807,             0.54177,            0.011796,            0.003806,           0.0059297,            0.009208,            0.009208,            0.009208
                  10,            0.035162,            0.015773,            0.014655,             0.73345,             0.92513,             0.85403,             0.57197,           0.0097481,           0.0036996,           0.0056332,            0.009109,            0.009109,            0.009109
                  11,            0.028271,            0.015443,            0.011395,             0.55435,             0.87406,             0.69331,             0.44895,            0.014207,           0.0035018,           0.0047226,             0.00901,             0.00901,             0.00901
                  12,            0.033883,            0.013946,            0.011907,             0.79805,             0.73392,             0.87962,             0.49972,            0.014121,           0.0036116,           0.0051757,            0.008911,            0.008911,            0.008911
                  13,            0.029087,            0.014632,            0.010134,             0.82112,             0.88182,              0.9629,             0.57084,            0.010519,           0.0038318,           0.0041939,            0.008812,            0.008812,            0.008812
                  14,            0.027838,            0.015411,             0.01061,             0.65192,             0.90909,             0.92812,             0.63875,            0.014695,            0.003687,           0.0047344,            0.008713,            0.008713,            0.008713
                  15,             0.02862,            0.013528,           0.0089842,             0.87792,             0.86106,             0.96408,             0.61596,           0.0097312,           0.0035982,           0.0037198,            0.008614,            0.008614,            0.008614
                  16,            0.025624,             0.01355,           0.0078995,             0.91588,             0.92519,             0.97123,             0.60572,            0.012761,           0.0034485,           0.0034136,            0.008515,            0.008515,            0.008515
                  17,             0.02764,            0.013548,           0.0082676,             0.92893,             0.93759,             0.98609,             0.61796,            0.009441,            0.003474,           0.0030005,            0.008416,            0.008416,            0.008416
                  18,            0.027855,            0.014267,            0.010309,             0.88764,             0.95422,             0.93763,             0.58534,             0.01155,           0.0033496,           0.0026435,            0.008317,            0.008317,            0.008317
                  19,            0.024527,            0.012884,           0.0084394,             0.92206,             0.89412,             0.97478,             0.62891,           0.0082171,           0.0032292,           0.0033235,            0.008218,            0.008218,            0.008218
                  20,            0.026939,            0.013859,           0.0080533,             0.81064,             0.93075,              0.9684,             0.62407,           0.0095832,           0.0033919,           0.0043075,            0.008119,            0.008119,            0.008119
                  21,            0.024297,            0.014098,           0.0064114,              0.8436,             0.89694,              0.9818,             0.62654,           0.0096539,           0.0030681,           0.0038646,             0.00802,             0.00802,             0.00802
                  22,            0.024489,            0.013442,           0.0088564,             0.81282,             0.82667,             0.93391,             0.64301,            0.010382,           0.0031589,           0.0054995,            0.007921,            0.007921,            0.007921
                  23,            0.025246,            0.013505,           0.0082185,             0.72472,             0.87279,             0.89018,             0.56335,            0.010804,           0.0031461,           0.0057347,            0.007822,            0.007822,            0.007822
                  24,            0.023312,            0.013904,           0.0086398,             0.87798,             0.88246,             0.97338,             0.69341,           0.0073969,           0.0031521,           0.0038531,            0.007723,            0.007723,            0.007723
                  25,             0.02262,             0.01348,           0.0077246,             0.94426,             0.96211,             0.99221,             0.74609,           0.0067015,           0.0030042,           0.0023099,            0.007624,            0.007624,            0.007624
                  26,            0.023312,            0.013185,           0.0084961,             0.94935,             0.95256,             0.98717,             0.67848,            0.010207,           0.0029119,           0.0019279,            0.007525,            0.007525,            0.007525
                  27,            0.023528,            0.012853,           0.0092745,             0.92686,             0.96405,             0.98734,             0.67975,           0.0071788,           0.0032898,           0.0017992,            0.007426,            0.007426,            0.007426
                  28,            0.021807,            0.013454,           0.0070941,             0.93114,             0.94486,             0.98368,             0.64461,           0.0094147,           0.0037481,           0.0023406,            0.007327,            0.007327,            0.007327
                  29,            0.022579,            0.013102,           0.0093713,             0.93341,             0.95195,             0.98042,             0.68377,           0.0076846,           0.0034731,            0.002207,            0.007228,            0.007228,            0.007228
